artist_id,artist_name,external_source,external_artist_ref
ART001,The Southern Tones,,
ART002,Ray Charles,,
ART003,Kanye West,spotify,5K4W6rqBFWDnAN6FQUkS6x
ART004,Jamie Foxx,,
ART005,Jon Brion,,
ART006,Yes,,
ART007,Art of Noise,,
ART008,Original Concept,,
ART009,Mantronix,,
ART010,J Dilla,,
ART011,Dwele,,
ART012,Ponderosa Twins Plus One,,
ART013,Charlie Wilson,,
ART014,Lou Reed,,
ART015,A Tribe Called Quest,,
ART016,Rick James,,
ART017,MC Hammer,,
ART018,Mtume,,
ART019,The Notorious B.I.G.,,
ART020,The Charmels,,
ART021,Wu-Tang Clan,,
ART022,Chaka Khan,,
ART023,Otis Redding,,
ART024,JAY-Z,spotify,3nFkdlSjzX9mRTtwJOzDYB
ART025,Nina Simone,,
ART026,Dolly Parton,,
ART027,Linda Ronstadt,,
ART028,Whitney Houston,spotify,6XpaIBNiVzIetEPCWDvAFP
ART029,LeAnn Rimes,,
ART030,Aretha Franklin,,
ART031,Tracy Chapman,,
ART032,Luke Combs,,
ART033,Leonard Cohen,,
ART034,Jeff Buckley,,
ART035,Rufus Wainwright,,
ART036,Pentatonix,,
ART037,k.d. lang,,
ART038,Nine Inch Nails,,
ART039,Johnny Cash,spotify,6kACVPfCOnqzgfEF5ryl0x
ART040,Roberta Flack,,
ART041,Fugees,,
ART042,David Bowie,,
ART043,Nirvana,,
ART044,Frank Ocean,,
ART045,The-Dream,,
ART046,Beyoncé,,
ART047,Big Sean,,
ART048,Pusha T,,
ART049,2 Chainz,,
ART050,CyHi,,
ART051,Swizz Beatz,,
ART052,RZA,,
ART053,Rick Ross,,
ART054,Nicki Minaj,,
ART055,Bon Iver,,
ART056,Rihanna,,
ART057,Kid Cudi,,
ART058,T-Pain,,
ART059,Syleena Johnson,,
ART060,Chris Martin,,
ART061,Paul Wall,,
ART062,GLC,,
ART063,Consequence,,
ART064,Twista,,
ART065,A$AP Rocky,spotify,13ubrt8QOOCPljQ2FL1Kca
ART066,Kendrick Lamar,spotify,2YZyLoL8N0Wb9xBt1NhZWg
ART067,Joey Bada$$,,
ART068,Danny Brown,,
ART069,Action Bronson,,
ART070,Big K.R.I.T.,,
ART071,Yelawolf,,
ART072,El-P,,
ART073,ScHoolboy Q,,
ART074,Dr. Dre,,
ART075,Drake,,
ART076,Skepta,,
ART077,Jay Rock,,
ART078,Jay Electronica,,
ART079,Baby Keem,,
ART080,Future,,
ART081,James Blake,,
ART082,Travis Scott,,
ART083,DJ Khaled,,
ART084,Betty Wright,,
ART085,Black Hippy,,
ART086,MC Eiht,,
ART087,Zacari,,
ART088,Bonnie Raitt,,
ART089,R.E.M.,,
ART090,Gary Jules,,
ART091,Bill Withers,,
ART092,Sinéad O'Connor,,
ART093,Eric Clapton,,
ART094,Adele,,
ART095,Pharrell Williams,spotify,2RdwBSPQiwcmiDo9kixcl8
ART096,Justin Timberlake,,
ART097,Katy Perry,,
ART098,Bruno Mars,,
ART099,Outkast,,
